Source	Character	Field	OldValue	NewValue
######## heisig #####
h	勒	primitives		革力
h	湘	primitives		氵相
h	魏	primitives		委鬼
h	琥	primitives		王虎
h	珀	primitives		王白
h	餃	primitives		食交
h	仗	primitives		亻丈
h	掟	primitives		扌定
h	跋	primitives		足友丶
h	茗	primitives		艹名
h	咆	primitives		口包
h	哮	primitives		口孝
h	檻	primitives		木監
h	盃	primitives		不皿
h	苹	primitives		艹平
h	朧	primitives		月龍
h	薇	primitives		艹微
h	贄	primitives		執貝
h	眞	primitives		匕目八
h	貂	primitives		豸召
h	董	primitives		艹重
h	凰	primitives		几皇
h	舐	primitives		舌氏
h	腿	primitives		月退
h	咬	primitives		口交
h	礒	primitives		石義
h	魄	primitives		白鬼
h	爬	primitives		爪巴
h	膣	primitives		月窒
h	鵺	primitives		夜鳥
h	脾	primitives		月卑
h	訛	primitives		言化
h	閔	primitives		門文
h	媚	primitives		女眉
h	禧	primitives		礻喜
h	鉗	primitives		金甘
h	蟇	primitives		莫虫
h	傀	primitives		亻鬼
h	榴	primitives		木留
h	條	primitives		人丨条
h	戟	primitives		𠦝戈
h	塙	primitives		土高
h	漣	primitives		氵連
h	娩	primitives		女免
h	椒	primitives		木叔
h	箒	primitives		竹帚
h	恬	primitives		忄舌
h	峙	primitives		山寺
h	腱	primitives		月建
h	筧	primitives		竹見
h	眷	primitives		[quarter]目
h	鉤	primitives		金句
h	瓏	primitives		王龍
h	鶫	primitives		柬鳥
h	炸	primitives		火乍
h	匣	primitives		匚甲
h	焉	primitives		正
h	瘴	primitives		疒章
h	煌	primitives		火皇
h	盪	primitives		湯皿
h	鯱	primitives		魚虎
h	賁	primitives		卉貝
h	煖	primitives		火爰
h	塹	primitives		斬土
h	誅	primitives		言朱
h	蝮	primitives		虫复
h	桓	primitives		木亘
h	毘	primitives		田比
h	悧	primitives		忄利
h	宦	primitives		宀臣
h	毯	primitives		毛炎
h	熾	primitives		火戠
h	浣	primitives		氵完
h	棍	primitives		木昆
h	莽	primitives		艹大开
h	謳	primitives		言區
h	轍	primitives		車育攵
h	疽	primitives		疒且
h	亞	primitives		二
h	彷	primitives		彳方
h	孵	primitives		卵孚
h	徘	primitives		彳非
h	徊	primitives		彳回
h	椛	primitives		木花
h	拗	primitives		扌幼
h	莱	primitives		艹来
h	悸	primitives		忄季
h	杞	primitives		木己
h	晰	primitives		日析
h	蜴	primitives		虫易
h	沮	primitives		氵且
h	熹	primitives		喜火
h	娶	primitives		取女
h	幇	primitives		封巾
h	蹂	primitives		足柔
h	厠	primitives		厂則
h	坡	primitives		土皮
h	翡	primitives		非羽
h	銛	primitives		金舌
h	諫	primitives		言柬
h	蜥	primitives		虫析
h	廣	primitives		广黃
h	蕾	primitives		艹雷
h	癪	primitives		疒積
h	氣	primitives		气米
h	徨	primitives		彳皇
h	邱	primitives		丘⻏
h	慊	primitives		忄兼
h	闊	primitives		門活
h	獏	primitives		犭莫
h	崔	primitives		山隹
h	肆	primitives		長聿
h	絽	primitives		糸呂
h	沛	primitives		氵市
h	娜	primitives		女那
h	祠	primitives		礻司
h	呵	primitives		口可
h	猩	primitives		犭星
h	貶	primitives		貝乏
h	鑢	primitives		金慮
h	鈔	primitives		金少
h	姚	primitives		女兆
h	鍔	primitives		金咢
h	瘡	primitives		疒倉
h	揀	primitives		扌柬
h	瀚	primitives		氵翰
h	翦	primitives		前羽
h	巷	primitives		共巳
h	橡	primitives		木象
h	呀	primitives		口牙
h	紮	primitives		札糸
h	姨	primitives		女夷
h	鯰	primitives		魚念
h	蘿	primitives		艹羅
h	韶	primitives		音召
h	賽	primitives		宀井一八貝
h	蜃	primitives		辰虫
h	珂	primitives		王可
h	痍	primitives		疒夷
h	臀	primitives		殿月
h	吽	primitives		口牛
h	嗚	primitives		口烏
h	踵	primitives		足重
h	桿	primitives		木旱
h	驪	primitives		馬麗
h	翊	primitives		立羽
h	娑	primitives		沙女
h	號	primitives		号虎
h	腓	primitives		月非
h	橙	primitives		木登
h	獰	primitives		犭寧
h	枷	primitives		木加
h	匱	primitives		匚貴
h	茵	primitives		艹因
h	楔	primitives		木契
h	昊	primitives		日天
h	汕	primitives		氵山
h	拮	primitives		扌吉
h	倩	primitives		亻靑
h	疸	primitives		疒旦
h	罹	primitives		罒惟
h	訶	primitives		言可
h	魑	primitives		鬼离
h	徽	primitives		彳山一糸攵
h	荊	primitives		艹刑
h	筐	primitives		竹匡
h	瑜	primitives		王兪
h	臈	primitives		月葛
h	虻	primitives		虫亡
h	恍	primitives		忄光
h	隍	primitives		阜皇
h	彭	primitives		壴彡
h	拿	primitives		合手
h	蛯	primitives		虫老
h	濤	primitives		氵壽
h	揶	primitives		扌耶
h	揄	primitives		扌兪
h	芒	primitives		艹亡
h	癬	primitives		疒鮮
h	咀	primitives		口且
h	筵	primitives		竹延
h	圄	primitives		囗吾
h	磋	primitives		石差
h	邂	primitives		辶解
h	逅	primitives		辶后
h	汞	primitives		工水
h	俯	primitives		亻府
h	憔	primitives		忄焦
h	悴	primitives		忄卒
h	彌	primitives		弓爾
h	蠅	primitives		虫黽
h	俘	primitives		亻孚
h	賈	primitives		西貝
h	彿	primitives		彳弗
h	唸	primitives		口念
h	奸	primitives		女干
h	軋	primitives		車乙
h	髷	primitives		髟曲
h	霍	primitives		雨隹
h	衍	primitives		行氵
h	瞰	primitives		目敢
h	瘢	primitives		疒般
h	吼	primitives		口孔
h	瀋	primitives		氵審
h	詛	primitives		言且
h	矜	primitives		矛今
h	佛	primitives		亻弗
h	鍮	primitives		金兪
h	假	primitives		亻叚
h	腋	primitives		月夜
h	朶	primitives		乃木
h	鉾	primitives		金牟
h	鈷	primitives		金古
h	炙	primitives		火
h	渣	primitives		氵査
h	撻	primitives		扌達
h	朦	primitives		月蒙
h	辜	primitives		古辛
h	雹	primitives		雨包
h	冢	primitives		冖豕
h	焙	primitives		火咅
h	酩	primitives		酉名
h	酊	primitives		酉丁
h	獪	primitives		犭會
h	鎗	primitives		金倉
h	矮	primitives		矢委
h	旌	primitives		方生
h	帷	primitives		巾隹
h	閭	primitives		門呂
h	櫂	primitives		木翟
h	蝸	primitives		虫咼
h	嚥	primitives		口燕
h	槓	primitives		木貢
h	刮	primitives		舌刂
h	疝	primitives		疒山
h	芍	primitives		艹勺
h	涛	primitives		水寿
h	滓	primitives		氵宰
h	猜	primitives		犭靑
h	樟	primitives		木章
h	擲	primitives		扌鄭
h	紆	primitives		糸于
h	紊	primitives		文糸
h	剋	primitives		克刂
h	簑	primitives		竹衰
h	邏	primitives		辶羅
h	鑼	primitives		金羅
h	霹	primitives		雨辟
h	宸	primitives		宀辰
h	掖	primitives		扌夜
h	匈	primitives		勹凶
h	疇	primitives		田壽
h	荼	primitives		艹余
h	怡	primitives		忄台
h	喀	primitives		口客
h	筥	primitives		竹呂
h	泗	primitives		氵四
h	莎	primitives		艹沙
h	蜉	primitives		虫孚
h	靡	primitives		麻非
h	慟	primitives		忄動
h	嚼	primitives		口爵
h	萱	primitives		艹宣
h	痣	primitives		疒志
h	盂	primitives		于皿
h	銓	primitives		金全
h	驃	primitives		馬票
h	褪	primitives		衤退
h	笏	primitives		竹勿
h	鬘	primitives		髟曼
h	崗	primitives		山岡
h	絲	primitives		糸
h	蠕	primitives		虫需
h	沍	primitives		氵互
h	姆	primitives		女母
h	擘	primitives		辟手
h	憊	primitives		備心
h	暎	primitives		日英
h	傅	primitives		亻尃
h	雕	primitives		周隹
h	鏖	primitives		鹿金
h	屓	primitives		尸貝
h	眈	primitives		目冘
h	閨	primitives		門圭
h	沽	primitives		氵古
h	驕	primitives		馬喬
h	顏	primitives		彦頁
h	拌	primitives		扌半
h	蒋	primitives		艹将
h	枡	primitives		木升
h	堡	primitives		保土
h	邯	primitives		甘⻏
h	鰆	primitives		魚春
h	狎	primitives		犭甲
h	趾	primitives		足止
h	衫	primitives		衤彡
h	釉	primitives		釆由
h	發	primitives		癶弓殳
h	葎	primitives		艹律
h	鴛	primitives		夗鳥
h	鴦	primitives		央鳥
h	緞	primitives		糸段
h	筍	primitives		竹旬
h	涸	primitives		氵固
h	褥	primitives		衤辱
h	麝	primitives		鹿射
h	褄	primitives		衤妻
h	祺	primitives		礻其
h	殃	primitives		歹央
h	雍	primitives		亠幺隹
h	呟	primitives		口玄
h	猴	primitives		犭侯
h	宕	primitives		宀石
h	麾	primitives		麻毛
h	擂	primitives		扌雷
h	鉋	primitives		金包
h	泅	primitives		氵囚
h	鐙	primitives		金登
h	嗟	primitives		口差
h	啖	primitives		口炎
h	鰓	primitives		魚思
h	鍍	primitives		金度
h	侘	primitives		亻宅
h	杰	primitives		木火
h	扈	primitives		戸⻏
h	衙	primitives		行吾
h	劈	primitives		辟刀
h	皺	primitives		芻皮
h	疥	primitives		疒介
h	愧	primitives		心鬼
h	弩	primitives		奴弓
h	兒	primitives		臼儿
h	袍	primitives		衤包
h	簀	primitives		竹責
h	媽	primitives		女馬
h	碎	primitives		石卒
h	滄	primitives		氵倉
h	韃	primitives		革達
h	寐	primitives		宀爿未
h	黜	primitives		黑出
h	陟	primitives		阜步
h	闢	primitives		門辟
h	餉	primitives		食向
h	咫	primitives		尺只
h	戎	primitives		戈十
h	慚	primitives		心斬
h	詈	primitives		罒言
h	恫	primitives		忄同
h	寞	primitives		宀莫
h	鮑	primitives		魚包
h	槐	primitives		木鬼
h	飜	primitives		番飛
h	弖	primitives		弓一
h	砒	primitives		石比
h	輌	primitives		車両
h	畚	primitives		厶大田
h	鬢	primitives		髟賓
h	屹	primitives		山乞
h	痂	primitives		疒加
h	偕	primitives		亻皆
h	靺	primitives		革末
h	羆	primitives		罷火
h	瑣	primitives		王小貝
h	鈎	primitives		金勾
h	烽	primitives		火夆
h	貳	primitives		弋二貝
h	臂	primitives		辟月
h	豬	primitives		豕者
h	繚	primitives		糸尞
h	剴	primitives		豈刂
h	淪	primitives		氵侖
h	咤	primitives		口宅
h	涎	primitives		氵延
h	塘	primitives		土唐
h	毫	primitives		亠口冖毛
h	劍	primitives		僉刂
h	俐	primitives		亻利
h	柯	primitives		木可
h	舫	primitives		舟方
h	闖	primitives		門馬
h	紂	primitives		糸寸
h	拇	primitives		扌母
h	鞆	primitives		革丙
h	雙	primitives		隹隹又
h	搏	primitives		扌尃
h	轎	primitives		車喬
h	杙	primitives		木弋
h	舳	primitives		舟由
h	璋	primitives		王章
h	刎	primitives		勿刂
h	衾	primitives		今衣
h	鵲	primitives		昔鳥
h	嫻	primitives		女閑
h	禊	primitives		礻契
h	鼬	primitives		鼠由
h	艤	primitives		舟義
h	惻	primitives		忄則
h	跖	primitives		足石
h	茴	primitives		艹回
h	鴆	primitives		冘鳥
h	豐	primitives		山丰豆
h	氓	primitives		亡民
h	妲	primitives		女旦
h	瀑	primitives		氵暴
h	禰	primitives		礻爾
h	桝	primitives		木舛
h	闍	primitives		門者
h	鴫	primitives		田鳥
h	鐵	primitives		金十戈呈
h	釵	primitives		金叉
h	扼	primitives		扌厄
h	鬆	primitives		髟松
h	圓	primitives		囗員
h	楡	primitives		木兪
h	與	primitives		臼一八
h	藹	primitives		艹謁
h	檸	primitives		木寧
h	檬	primitives		木蒙
h	笨	primitives		竹本
h	桀	primitives		舛木
h	鞁	primitives		革皮
h	甑	primitives		曾瓦
h	駱	primitives		馬各
h	袢	primitives		衤半
h	孩	primitives		子亥
h	鞋	primitives		革圭
h	悍	primitives		忄旱
h	鎬	primitives		金高
h	愴	primitives		忄倉
h	縋	primitives		糸追
h	躬	primitives		身弓
h	鴇	primitives		匕十鳥
h	壹	primitives		士冖豆
