Kanji	Field	OldValue	NewValue
通	sec_primitives		甬辶
少	sec_primitives		小丿
夜	sec_primitives		亠人夕丶
業	sec_primitives		业䒑未
得	sec_primitives		彳㝵
葉	sec_primitives		艹枼
痛	sec_primitives		疒甬
恐	sec_primitives		巩心
妻	primitives	一肀女	十肀女
妻	sec_primitives		一肀女
録	sec_primitives		金录
緊	sec_primitives		臤糸
婦	sec_primitives		女帚
曜	sec_primitives		日[futon]
踊	sec_primitives		足甬
賢	sec_primitives		臤貝
暇	sec_primitives		日叚
卵	sec_primitives		卯丶丶
尊	sec_primitives		酋寸
綾	sec_primitives		糸夌
築	sec_primitives		竹巩木
緑	sec_primitives		糸录
衆	sec_primitives		血乑
凛	sec_primitives		冫禀
躍	sec_primitives		足[futon]
峰	sec_primitives		山夆
堅	sec_primitives		臤土
縫	sec_primitives		糸夆
濯	sec_primitives		水[futon]
柳	sec_primitives		木卯
蝶	sec_primitives		虫枼
瑚	sec_primitives		王胡
儲	sec_primitives		信者
蜂	sec_primitives		虫夆
剥	sec_primitives		录刀
瑞	sec_primitives		王耑
壇	sec_primitives		土亶
猟	sec_primitives		犬鼡
爺	sec_primitives		父耶
葵	sec_primitives		艹癸
腎	sec_primitives		臤肉
鞠	sec_primitives		革匊
橘	sec_primitives		木矞
惚	sec_primitives		心忽
諜	sec_primitives		言枼
憑	sec_primitives		馮心
迅	sec_primitives		辶卂
脊	sec_primitives		人[i_ching]月
傲	sec_primitives		人土放
宏	sec_primitives		宀厷
璃	sec_primitives		王离
夷	sec_primitives		一弓人
姦	sec_primitives		女奻
喋	sec_primitives		口枼
紘	sec_primitives		糸厷
逢	sec_primitives		辶夆
疹	sec_primitives		疒㐱
嚢	sec_primitives		一中冖㐮
陀	sec_primitives		⻖它
餐	sec_primitives		歺又食
桶	sec_primitives		木甬
毅	sec_primitives		豙殳
葱	sec_primitives		艹忽丶
顎	sec_primitives		咢頁
禄	sec_primitives		示录
輿	sec_primitives		臼車[tool]
髭	sec_primitives		髟此
醐	sec_primitives		酉胡
幌	sec_primitives		巾晃
蓬	sec_primitives		艹逢
晋	sec_primitives		一业日
叡	sec_primitives		睿又
昴	sec_primitives		日卯
纏	sec_primitives		糸廛
睾	sec_primitives		丿睪
燭	sec_primitives		火蜀
隈	sec_primitives		⻖畏
蝋	sec_primitives		虫鼡
鋒	sec_primitives		金夆
耀	sec_primitives		光[futon]
凌	sec_primitives		冫夌
蕨	sec_primitives		艹厥
袴	sec_primitives		衤夸
胚	sec_primitives		肉丕
檀	sec_primitives		木亶
栞	sec_primitives		幵木
峯	sec_primitives		山夆
脛	sec_primitives		肉巠
擢	sec_primitives		扌[futon]
蝦	sec_primitives		虫叚
糊	sec_primitives		米胡
藁	sec_primitives		艹槀
厭	sec_primitives		厂猒
昂	sec_primitives		日卬
訊	sec_primitives		言卂
麹	sec_primitives		麦匊
琶	sec_primitives		玨巴
葺	sec_primitives		艹咠
葡	sec_primitives		艹匍
萄	sec_primitives		艹匋
琵	sec_primitives		玨比
撰	sec_primitives		扌巽
鰐	sec_primitives		魚咢
琉	sec_primitives		王㐬
堰	sec_primitives		土匽
酋	sec_primitives		八酉
祢	sec_primitives		示尓
筑	sec_primitives		竹巩
艘	sec_primitives		舟叟
藝	sec_primitives		蓺云
榛	sec_primitives		木秦
竪	sec_primitives		臤立
烹	sec_primitives		亨火
疏	sec_primitives		疋㐬
楢	sec_primitives		木酋
馨	sec_primitives		殸香
爾	sec_primitives		[tool]丨冂爻爻
燦	sec_primitives		火粲
滉	sec_primitives		水晃
櫓	sec_primitives		木魯
蛹	sec_primitives		虫甬
滲	sec_primitives		水參
捷	sec_primitives		扌疌
鋏	sec_primitives		金夾
漱	sec_primitives		水欶
聘	sec_primitives		耳甹
綸	sec_primitives		糸侖
鄭	sec_primitives		酋大⻏
燿	sec_primitives		火[futon]
椰	sec_primitives		木耶
牒	sec_primitives		片枼
勁	sec_primitives		巠力
襖	sec_primitives		衤奧
涌	sec_primitives		水甬
聚	sec_primitives		取乑
謬	sec_primitives		言翏
崚	sec_primitives		山夌
彬	sec_primitives		林彡
畢	sec_primitives		田艹[cornstalk]
駁	sec_primitives		馬爻
彊	sec_primitives		弓畺
碍	sec_primitives		石㝵
俑	sec_primitives		人甬
跨	sec_primitives		足夸
鰭	sec_primitives		魚耆
肱	sec_primitives		肉厷
揖	sec_primitives		扌咠
橇	sec_primitives		木毳
蒜	sec_primitives		艹祘
罫	sec_primitives		罒卦
棉	sec_primitives		木帛
樗	sec_primitives		木雩
輯	sec_primitives		車咠
蕊	sec_primitives		艹惢
鑿	sec_primitives		丵臼殳金
橿	sec_primitives		木畺
藷	sec_primitives		艹諸
屡	sec_primitives		尸娄
箆	sec_primitives		竹冂人比
夭	sec_primitives		丿大
驢	sec_primitives		馬盧
慂	sec_primitives		水甬心
㐱	sec_primitives		人彡
艹	radicals		⺾
麟	heisig_comment		The camelopard is a motley-colored mythical creature from China with the body of a deer, the tail of a cow, and the crest and claws of abird.
枼	radicals		世木
枼	primitives		世木

