Source	Character	Field	OldValue	NewValue
h	賣	primitive_alternatives		𧶠
h	青	primitive_alternatives		靑
h	羽	primitive_alternatives		羽
h	戸	primitive_alternatives		戶
h	内	primitive_alternatives		內
h	丬	primitive_alternatives		爿
cs	丬	comment		The alternative primitive 爿 is used in kyuujitai (older character form) kanjis.
h	彦	primitive_alternatives		彥


cs	澤	keywords	happy swamp	swamp (old)
cs	澤	story	To distinguish this kanji from <i>swamp</i> (沢) we name this arbitrarily <b>happy swamp</b>. This is a place where you can <i>see</i> (罒) different species living <i>happily</i> (幸) together. And since this is a swamp there will be naturally lots of <i>water</i> (水) around.	This is a place where you can <i>see</i> (罒) different species living <i>happily</i> (幸) together. And since this is a swamp there will be naturally lots of <i>water</i> (水) around.
cs	澤	comment	This kanji is mainly in names, for example in the name of the famous director Akira Kurosawa (黒澤明).	This is an old form of 沢 (swamp) and is nowadays used mainly in names, for example in the name of the famous director Akira Kurosawa (黒澤明).
cs	倦	comment	["In some fonts the horns are drooping downwards and the snake (\u5df1) is drawn as fingerprint (\u353e) instead.", "Story: Chuck Norris (\u4eba) (..or whover your favourite protagonist is) is so <b>fed up</b> with these cheap quarter ([quarter]) in a dime <i>scrolls</i> (\u5dfb) with lousy fonts."]	["Some fonts use the old form of scroll (\u5377) in which the horns are drooping downwards and the snake (\u5df1) is drawn as fingerprint (\u353e) instead.", "Story: Chuck Norris (\u4eba) (..or whover your favourite protagonist is) is so <b>fed up</b> with these old quarter ([quarter]) in a dime <i>scrolls</i> (\u5dfb) that are so hard to read."]
cs	薙	story	["This kanji is used in the name of the Ghost in the Shell protagonist Motoko Kusanagi (\u8349\u8599\u7d20\u5b50, \u304f\u3055\u306a\u304e\u3082\u3068\u3053). ", "Story: Motoko finally has a day off and is <b>trimming</b> his grass (\u8349) lawn when suddenly pops up a notification from her AI assistant (which curiously has an avatar of a <i>pheasant</i>(\u96c9)). \" Intruder alert! Several hostiles incoming!\" says the <i>pheasant</i>.   \"God damn it.. ! Well, I guess it's time to <b>mow them down</b> quickly so I can get back to <b>trimming</b> my lawn.\""]	["This kanji is used in the name of the Ghost in the Shell protagonist Motoko Kusanagi (\u8349\u8599\u7d20\u5b50, \u304f\u3055\u306a\u304e\u3082\u3068\u3053). ", "Story: Motoko finally has a day off and is <b>trimming</b> his grass (\u8349) lawn and flowers (\u8279) when suddenly pops up a notification from her AI assistant (which curiously has an avatar of a <i>pheasant</i>(\u96c9)). \" Intruder alert! Several hostiles incoming!\" says the <i>pheasant</i>.   \"God damn it! Well, I guess it's time to <b>mow them down</b> promptly so I can get back to <b>trimming</b> the lawn.\""]
cs	陶	primitives		⻖匋
h	掏	primitives		扌勹缶
cs	掏	primitives		扌匋
cs	揀	primitives		扌柬
cs	淘	primitives		水匋
cs	淘	keywords		select
h	淘	primitives		水勹缶
h	綯	primitives		糸勹缶
cs	綯	primitives		糸匋
cs	綯	keywords		make rope
cs	匋	primitive_keywords		pottery, six pack
cs	匋	story		["Here we see a bunch of <i>tin cans</i> (\u7f36) <i>bound</i> (\u52f9) together which conveniently gives us a new primitive: <b>six pack</b> (of beer).", "We can also use the original meaning of this kanji (<b>pottery</b>) of which the complete kanji is \u9676."]
cs	鯖	comment		Note the old form 靑 of blue (青).
cs	煉	comment	Here the right part is the alternate form 柬 or 'east' (東)	Note that some fonts use the simplified Shinjitai form 東  and some use the older Kyuujitai form 柬.
cs	螢	keywords		firefly (old)
cs	螢	comment		This is an old form of 蛍 (firefly / lightning bug).
h	歐	primitives		區欠
cs	毆	keywords		assault (old)
cs	毆	comment		This is and old form of 殴 (assault).
h	毆	primitives		區殳
cs	賣	primitives		士買
cs	賣	keywords		sell (old)
cs	賣	comment		["This is an old form of \u58f2 (sell).  ", "Note that this kanji used as a primitive in many old form Hyougai kanjis. In some fonts these kanjis are displayed with an alternate form (\ud85f\udda0) where the net (\u7f52) is replaced by four (\u56db)."]
h	賣	primitives		士罒貝
cs	續	primitives		糸賣
cs	續	keywords		continue (old)
cs	續	comment		This is an old form of 続 (continue).
cs	讀	primitives		言賣
cs	讀	keywords		read (old)
cs	讀	comment		This is an old form of 読 (read).
h	贖	primitives	貝賣	貝士四貝
cs	贖	primitives		貝賣
h	牘	primitives		片士四貝
cs	牘	primitives		片賣
cs	牘	keywords		letter
h	瀆	primitives		水士四貝
cs	瀆	primitives		水賣
cs	瀆	keywords		blaspheme (old)
cs	瀆	comment		This is an old form of 涜 (blaspheme).
h	讀	primitives		言士四貝
h	竇	primitives		穴士四貝
