Source	Character	Field	OldValue	NewValue
k	俞	radicals		𠆢一月刂
h	示	primitive_alternatives	礻	礻⺬
h	丨	primitive_alternatives	ノ	
h	亦	primitive_alternatives	赤	
h	辶	primitive_alternatives		⻌

h	並	primitive_alternatives	亚[row-bottom][in_a_row_upside_down]	亚[in_a_row_upside_down]业
cs	擢	primitives	扌[futon]	扌翟
h	桜	primitives	木小女	木⺍女
cs	心	primitive_keywords		Data
cs	心	story		["Heisig's choice for the primitive keyword for \u5fc4(state of mind) is quite ambiguous and hard to create a concrete story around to so we recommend different approach.", "This primitive is associated with many kanjis concerning different feelings (cheerful, pity, nostalgic, dreadful etc..) so what could be better choice for a keyword other than <b>Commander Data</b> (from Star Trek Next Generation) - an android who is actually incapable of feeling anything.  This creates funny and ironic stories, most of which are already listed in corresponding Koohi stories."]
h	忝	primitives	夭心	夭⺗
h	恭	primitives	共心	共⺗

cs	澤	primitives		水睪
cs	煢	primitives	火火冖卂	𤇾卂
cs	經	comment	This is an old form of 経 (sutra)	This is an old form of 経 (sutra).
cs	齊	comment	This is an old form of 斉 (adjusted)	This is an old form of 斉 (adjusted).
cs	螢	primitives		𤇾虫
cs	螢	comment	This is an old form of 蛍 (firefly / lightning bug).	This is an old form of 蛍 (firefly).
cs	歐	comment	This is an old form of 欧 (Europe)	This is an old form of 欧 (Europe).
cs	贖	keywords		atonement
h	慕	primitives	莫心	莫⺗
