Source	Character	Field	OldValue	NewValue
k	厉	radicals		厂万
h	益	primitive_alternatives		益
h	乙	primitive_alternatives	乚L	乚L⺄
h	手	primitive_alternatives	扌	龵

h	茲	primitive_alternatives		兹

h	俞	primitive_alternatives		兪
h	刀	primitive_alternatives	刂	刂巜

h	黄	primitive_alternatives		黃

h	告	primitive_alternatives		吿
h	呉	primitive_alternatives		吳
h	幺	primitive_alternatives		乡

h	丁	primitive_alternatives		丅

h	舄	primitive_alternatives		舃


k	䖵	radicals		虫
h	䖵	primitives		虫虫

h	睪	primitives		罒幸

k	䍃	radicals		夕缶
h	䍃	primitives		夕缶
cs	䍃	keywords		condor (old)
cs	䍃	comment		This is an old form of condor ([condor])

k	㐭	radicals		亠囗口
h	㐭	primitives		亠囗口

k	吅	radicals		口
h	吅	primitives		口口

k	㓞	radicals		丰刀
h	㓞	primitives		丰刀

k	閒	radicals		門月
h	閒	primitives		門月

k	匃	radicals		勹人
h	匃	primitives		勹人L

h	曷	primitives		日勹人L
cs	曷	primitives		日匃

h	鬥	primitives		丨王王丨	
h	齊	primitives		亠丫刀[receipt][fenceposts]二	




h	嗇	primitives		土从回

#h	兔	primitives		免丶

h	婁	primitives		口一口丨女

cs	澤	primitives	水睪	氵睪
cs	慂	primitives	氵甬心	涌心
cs	滌	primitives	氵攸木	氵條
cs	條	primitives		攸木
cs	撈	primitives	扌𤇾力	扌勞

h	儿	primitive_alternatives		兀

h	ヨ	primitive_alternatives		彐


h	鬳	primitives		虍鬲
h	處	primitives		虍処

h	歲	primitives		止戌小

h	垚	primitives		土土土

h	兓	primitives		旡旡

h	爭	primitives		爪肀

h	瞿	primitives		目目隹

h	庚	primitives		广尹丶	

h	厤	primitives		厂禾禾	
h	兟	primitives		先先

#TODO
k	絭	radicals		糸
h	絭	primitives		[quarter]糸

h	巤	primitives		巛囗乂[plow]⺀[plow]⺀乚

k	䧹	radicals		广亻隹
h	䧹	primitives		广亻隹

k	炏	radicals		火
h	炏	primitives		火火


k	魝	radicals		魚刂
h	魝	primitives		魚刂
k	洰	radicals		氵巨
h	洰	primitives		氵巨
k	㢶	radicals		弓百
h	㢶	primitives		弓百
k	杀	radicals		乂ホ
h	杀	primitives		乂ホ
k	㞢	radicals		㞢
h	㞢	primitives		㞢
k	頝	radicals		交頁
h	頝	primitives		交頁
k	㿽	radicals		𠆢皿
h	㿽	primitives		今皿
k	㓣	radicals		𠆢口刂
h	㓣	primitives		合刂
k	㚒	radicals		大人
h	㚒	primitives		大从
k	夃	radicals		乃又
h	夃	primitives		乃又
k	㧜	radicals		扌匚
h	㧜	primitives		扌匚巾
k	砳	radicals		石
h	砳	primitives		石石
k	欮	radicals		屰欠
h	欮	primitives		屰欠
k	䩻	radicals		革馬
h	䩻	primitives		革馬
k	珤	radicals		王缶
h	珤	primitives		王缶
k	羕	radicals		羊永
h	羕	primitives		羊永
k	叹	radicals		口又
h	叹	primitives		口又
k	竘	radicals		立勹口
h	竘	primitives		立句
k	䖒	radicals		虍豆
h	䖒	primitives		虍豆
k	卄	radicals		卄
h	卄	primitives		卄
k	㸒	radicals		爪壬
h	㸒	primitives		爪壬
k	虽	radicals		口虫
h	虽	primitives		口虫
k	秃	radicals		禾几
