Source	Character	Field	OldValue	NewValue
rrtk	一	keywords		one
rrtk	一	story		In Chinese characters, the number <b>one</b> is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.
rrtk	二	keywords		two
rrtk	二	story		Like the Roman numeral II, which reduplicates the numeral I, the kanji for <b>two</b> is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the first stroke slightly shorter.
rrtk	三	keywords		three
rrtk	三	story		And like the Roman numeral III, which triples the numeral I, the kanji for <b>three</b> simply triples the single horizontal stroke. In writing it, think of "1 + 2 = 3" (一 + 二 = 三) in order to keep the middle stroke shorter.
rrtk	四	keywords		four
rrtk	四	story		<b>Four </b>year-olds often put their foot/<i>human legs</i> (儿) in their <i>mouth</i> (口), but they are too young to realize.
rrtk	五	keywords		five
rrtk	五	story		三 + two vertical lines = 5.
rrtk	六	keywords		six
rrtk	六	story		Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.
rrtk	七	keywords		seven
rrtk	七	story		This kanji is our good old<strong> seven</strong>, turned upside down.
rrtk	八	keywords		eight
rrtk	八	story		"はち" (eight) begins with the sound of the katakana "ハ", and it's approximately the same character.
rrtk	九	keywords		nine
rrtk	九	story		Kinda of looks like the kanji of 1 一 with the kanji of 8 八 added. So think of it as 一＋八＝九
rrtk	十	keywords		ten
rrtk	十	story		Turn this character 45 degrees either way and you have the x used for the Roman numeral <b>ten</b>.
rrtk	口	keywords		mouth
rrtk	口	story		Like several of the first characters we shall learn, the kanji for <b>mouth</b> is a clear pictograph. Since there are no circular shapes in the kanji, the square must be used to depict the circle.
rrtk	日	keywords		day
rrtk	日	story		Open the window, new<strong> day</strong>.
rrtk	月	keywords		month
rrtk	月	story		A<strong> month</strong> is longer than a <i>day</i> (日).
rrtk	田	keywords		rice field
rrtk	田	story		<em>Ten</em> (十)<strong> rice field</strong>s can feed many <em>mouths </em>(口).
rrtk	目	keywords		eye
rrtk	目	story		目 _ 目
rrtk	古	keywords		old
rrtk	古	story		Tombstone and cross on an<strong> old</strong> man's grave.
rrtk	吾	keywords		I
rrtk	吾	story		<b>I</b> have <i>five</i> (五) senses and a <i>mouth</i> (口).
rrtk	冒	keywords		risk
rrtk	冒	story		Don't look at the <i>sun</i> (日) directly with your <i>eyes</i> (目), it's<strong> risk</strong>y!
rrtk	朋	keywords		companion
rrtk	朋	story		My <b>companion </b>and I are like two <i>moons</i> (月) side by side.
rrtk	明	keywords		bright
rrtk	明	story		The <i>sun</i> (日) makes the <i>moon</i> (月)<strong> bright</strong>.
