Source	Character	Field	OldValue	NewValue
wk	一	keywords		ground
wk	一	story		This radical consists of a single, horizontal stroke. What's the biggest, single, horizontal stroke? That's the <radical>ground</radical>. Look at the ground, look at this radical, now look at the ground again. Kind of the same, right?
wk	ハ	keywords		fins
wk	ハ	story		Picture a fish. Now picture the fish a little worse, like a child's drawing of the fish. Now erase the fish's body and... you're left with two <radical>fins</radical>! Do you see these two fins? Yeah, you see them.
wk	丶	keywords		drop
wk	丶	story		This little radical is a <radical>drop</radical> of water or some other liquid. Notice how it's only one drop? Sometimes radicals or kanji will have more than one drop, so it's important that you know how to tell them apart.
wk	丿	keywords		slide
wk	丿	story		Close your eyes and imagine you're a kid again. Now open them and... look! It's a <radical>slide</radical>! Imagine little you sliding down this slide over and over, having a great time. Imagination + emotion makes for good memorization!
wk	亅	keywords		barb
wk	亅	story		This radical is shaped like a <radical>barb</radical>. Like the kind you'd see on barb wire. Imagine one of these getting stuck to your arm or your clothes. Think about how much it would hurt with that little hook on the end sticking into you. Say out loud, "Oh dang, I got a barb stuck in me!"
wk	二	keywords		two
wk	二	story		One line plus another line equals <radical>two</radical> lines. This radical represents the number two. Pretty simple, right? Can you guess what three looks like? I bet you can...
wk	亠	keywords		lid
wk	亠	story		This looks like something you'd put on a kettle or a pot, right? It even has a little handle to make sure you don't burn yourself. This is some kind of <radical>lid</radical>.
wk	大	keywords		big
wk	大	story		This radical looks just like a stick figure—more specifically, a really <radical>big</radical> guy with his arms stretched out nice and big. When you see this radical, just think big, because this guy is really BIG!
wk	人	keywords		person
wk	人	story		If you were to draw a <radical>person</radical> with just strokes like you see in kanji, you'd create a stick figure, maybe something like this: <ja>大</ja>. But this is just a person, not someone holding out their arms to show how big they are. So their arms are down, which makes them look like a torso with a pair of legs. Maybe they're walking too, which is why their legs are spread out like that. You can see the person now, can't you?
wk	入	keywords		enter
wk	入	story		Watch out! This isn't the person radical, it's something else. What's the difference? The right side is longer than the left side. And on computers, it usually has that extra part sticking out of the top. It kind of looks like a flap opening to a teepee. And what do you do with an opening? You enter it! That's why this radical is <radical>enter</radical>.
wk	力	keywords		power
wk	力	story		Imagine a guy flexing his arm downward to show off his steroid-pumped arm. It's huge. It's so full of <radical>power</radical>. RARRRWWWRRR!!
wk	勹	keywords		prison
wk	勹	story		This looks like an enclosure of sorts - that's why it's a <radical>prison</radical>. It wraps itself around things and locks them in there. Prisons are pretty scary, even before you imagine one slowly floating down from the sky to trap you.
wk	口	keywords		mouth
wk	口	story		A big, gaping, square hole represents someone opening their giant <radical>mouth</radical> to tell you something stupid.
wk	女	keywords		woman
wk	女	story		This radical looks like a wide person made up of two stacked Xs. Women generally have two XXs for chromosomes, and back in the day they were praised for their wide, child-bearing hips. We may not think of women this way anymore, but way back when Japanese was made, this made them think of a <radical>woman</radical>.
wk	七	keywords		seven
wk	七	story		What does this radical look like? Hmm, nothing much. What about if you turn it upside down? Now does it look like a 7 with a line through it? Close enough to help you to remember that this radical is <radical>seven</radical>, right? Just remember, when you see this radical, flip it over and see what number it looks like. If you can do that, you can remember the meaning!
wk	十	keywords		cross
wk	十	story		This radical looks like a <radical>cross</radical>. I mean, just look at it. Two bars going through each other = a cross!
wk	山	keywords		mountain
wk	山	story		This is a <radical>mountain</radical>. You'll have to add the lines that make up the top of the mountain if you want it more "mountain-like." Also something that might help: sometimes mountains have a couple of smaller peaks coming out the side of the main peak too. Connect the dots and create the mountain in your mind.
wk	川	keywords		river
wk	川	story		This radical already looks like a <radical>river</radical>. See the banks of the river on the side and the flow of the river in the middle? There's even a slight turn in the river too. So when you see this radical, you should think "river."
wk	木	keywords		tree
wk	木	story		Do you see the <radical>tree</radical> in here? It has branches, and then it has the foliage coming down diagonally from it, spreading out like a tree would. That's why this radical is a tree.
wk	工	keywords		construction
wk	工	story		You know those big steel girders that are used for the frame of big buildings? This is like the end of one of those, and have a very distinct shape, just like this radical. These girders are used in construction, which is why this radical means <radical>construction</radical>. Funny thing is, you use these girders to put together buildings just like you're going to use this radical to put together kanji!
wk	九	keywords		nine
wk	九	story		If you look at this radical in just the right way, you'll notice that it kind of looks like the letters "n" and "i" (the "i" comes from the little flippy-up stroke on the right side). What do the letters "n" and "i" start spelling? Why, the word <radical>nine</radical>.
wk	[leaf]	keywords		leaf
wk	[leaf]	story		There's a leaf on top and a stem going down out of it, making it the <radical>leaf</radical> radical. It looks kind of like a lilypad, sitting on top of the water with its stem going down to the bottom where the dirt is.
wk	𠂉	keywords		gun
wk	𠂉	story		This looks a lot like a long <radical>gun</radical> pointing to the right. You have a shoulder rest on the left, and the barrel on the right. Imagine it hanging in a case on the wall in a museum.
wk	日	keywords		sun
wk	日	story		Since there are no circles in Japanese characters, sometimes rectangles or squares have to make do. In this case, this big rectangle is the <radical>sun</radical>. The middle line going through the center horizontally is the equator. Or maybe it's a cloud, moving across the sun. Picture it, but don't actually look at the sun and burn your eyes!
wk	卜	keywords		toe
wk	卜	story		This radical looks just like the katakana character <ja>ト</ja> (to), which sounds like the word <radical>toe</radical>. So when you see <ja>ト</ja>, think toe.
wk	丨	keywords		stick
wk	丨	story		This is a <radical>stick</radical>, sticking out of the ground. It even looks like a stick.
wr	八	story		はち: After you count and smell all <kanji>eight</kanji> of your fins, it's time to put them away. You open a large <reading>hatch</reading> (<ja>はち</ja>) and put them in. This is where you keep your fins, always putting in eight at a time because that's what the boss wants.
wr	八	comment		You've asked him why you can only put eight fins at a time in the hatch, but he never wants to answer. What could be down in the hole that the hatch covers? Why is there a hatch at all? What's with numbers and hatches being mysterious?
wk	八	keywords		eight
wk	八	story		This isn't exactly the same as the <radical>fins</radical> radical, but it's close. Sometimes this will happen (where we have to use a slightly "modified radical" version of the original), so it's good to understand that now, early on. In this case, we have fins. How many fins? <kanji>Eight</kanji> fins. How do you know that? Because you caught four fish with two fins each.
wk	八	comment		Count the fins out in front of you, all the way from one to eight. It'll help if you actually do this. Now smell each fin, and think "Wow, I have to smell all eight of these?" Yes, you do.
wk	八	primitives		ハ
wr	三	story		さん: <kanji>Three</kanji> is the number of chances you get with <reading>San</reading>ta-san (<ja>さん</ja>). He has a list, and when you get to three "naughty things" lines, that's it. You're on Santa-san's three strikes and you're out list.
wr	三	comment		Picture Santa-san sitting at his desk at the North Pole, eating cookies, and marking one, two, then finally three lines next to names. Once the third line appears, the kid doesn't get presents anymore.
wk	三	keywords		three
wk	三	story		This kanji is made up of the ground radical (which also happens to be the kanji for "one") and the radical for two. Combine <radical>one</radical> and <radical>two</radical> together and what do you get? <kanji>Three</kanji>!
wk	三	comment		This one should be pretty self explanatory! Even easier, you can look at this kanji and see it has three straight lines. You know what one looks like. You know what two looks like. So... this is three!
wk	三	primitives		一二
wr	上	story		じょう: Of course when you find a toe <kanji>above</kanji> the ground, you want to know where the toe came from. When you examine it, you see a name written on there. This toe belongs to the local clumsy farmhand, <reading>Jou</reading>rm (<ja>じょう</ja>).
