Source	Character	Field	OldValue	NewValue
h	扌	story	The alternate form of the primitive for <b>hand</b> (手) we shall use to represent <b>finger</b> or <b>fingers</b>. It always appears at the left. [3]	The alternate form of the primitive for <b>hand</b> (手) we shall use to represent <b>finger</b> or <b>fingers</b>. It always appears at the left.
cs	巠	story	This is an old form of 圣 (spool).  As a primitive we can use the crowd-sourced '<b>sewers</b>' keyword.  Story: <b>sewers</b> is a <i>crafted</i> (工) <i>flood/stream</i> (巛) underneath the <i>ground</i> (一).	<b>Sewers</b> is a <i>crafted</i> (工) <i>flood/stream</i> (巛) underneath the <i>ground</i> (一).
cs	巠	comment		This is an old form of 圣 (spool).
cs	懺	primitives		心韱
h	韱	primitives		从戈韭
cs	籤	primitives		竹韱
h	殲	primitives		歹韱
h	纖	primitives		糸韱
h	讖	primitives		言韱
h	孅	primitives		女韱
cs	韱	primitive_keywords		vegan party
cs	韱	story		It's a <b>vegan party</b>! An <i>assembly line</i> (从) of diligent helpers are working to produce food for this non-carnivorous <i>fiesta</i> (戈). However the one in charge for procuring the ingredients was too picky and now the only thing served will be <i>green onions</i> (韭) ..
h	岡	primitives	岡	冂屰
h	䒑	story	-	
cs	岡	primitives		冂丷山
cs	岡	comment		The stroke order is actually <i>belt</i>.. <i>horns</i>.. <i>mountain</i>
cs	兆	primitives		儿[sparkler]
cs	兆	primitive_keywords		hairy legs
cs	兆	story		This is a clear pictograph of <b>hairy legs</b>. It's recommended to use it as primitive keyword instead of <b>portent</b> because it connects quite well with the Koohi stories of other kanji characters that this primitive is part of. Alternatively you might choose <b>shiny legs</b> keyword using sparkler ([sparkler]) primitive but in that case you are on your own to make up the stories.
h	兆	primitives	兆	儿丶丶丶丶
cs	挑	story		This scene could be straight out of 'How I Met Your Mother': "So, Barney, how about that one over there with the <i>hairy legs</i> (兆) ?" Barney raises his index <i>finger</i> (扌) as he often does and exclaims "<b>challenge</b> accepted!"
cs	桃	story		<b>Peach tree</b> is the <i>tree</i> (木) that has <i>hairy</i> (兆) fruits.
cs	桃	comment		Fun fact: The hairy stuff (fuzz) on peach is actually a defense mechanism which protects the fruit from insects and other pests. The tiny little hairs are irritating for some bugs. Nectarines and peaches are nearly the same genetically, but a gene variant between the two causes peaches to have a fuzzy skin and nectarines to have a smooth skin.
cs	跳	story		When everyone is <b>hopping</b> about it is easy to tell if someone has a <i>wooden leg</i> (足) or <i>hairy legs</i> (兆).
cs	其	primitive_keywords		chess
cs	其	story		It's advised to assign this kanji '<b>chess</b>' primitive keyword. Not only because it is used by other chess related kanjis (shogi/chess piece 棋, Go 碁) but also since it can be integrated well with other stories for kanjis this primitive is part of.
cs	棋	story		Shogi () and chess pieces are made of wood whereas Go uses stones.
cs	旗	story		Did you know that all the chess infatuated people from Chechnya and Kazakhstan got together and decided to establish a new country? It's called 'Chesstan' and it has a <b>national flag</b> that looks like a <i>banner</i> ([banner]) of <i>chess checkerboard</i> (其). (TRUE STORY! .. not)
cs	基	story		["<b>Fundamentals</b> of <i>chess</i> (\u5176): use the rooks to protect your <i>ground</i> (\u571f). ", "If you try to use your imagination you could actually see also \u571f as a pictograph of a rook here."]
h	尚	primitives	尚	小冂口
cs	蜘	story	<b>Spider</i> is an <i>insect</i> that <i>knows</i> everything that is connected to its web.	<b>Spider</b> is an <i>insect</i> that <i>knows</i> everything that is connected to its web.
cs	亶	primitive_keywords		Groundhog Day
cs	亶	story		This crowd-sourced primitive tells the story of the <b>Groundhog Day</b> (1993 movie):  The mayor in his <i>top hat</i> (亠) announces the prediction of the arrival of spring (depending on the groundhogs behavior). This occurs numerous <i>times</i> (回) in this movie because the cycle resets each <i>night break</i> (旦) and the same incidences keep repeating again and again.
cs	尚	primitives		小冋
cs	尚	keywords		furthermore
cs	尚	story		This is clearly a case of body dysmorphia. A person has a full <i>biker moustache</i> (冋) (a la Hulk Hogan) but he still thinks its too <i>small</i> (小) and wants to grow it <b>furthermore</b>!
cs	向	primitives		丶冋
cs	高	primitives		亠口冋
cs	咼	primitives		冂冋
cs	耑	primitive_keywords		specialized
cs	耑	story		If you put a <i>comb</i> (而) upside down it might look like a mountain (山) range. I am specialized (耑) in noticing these odd facts.
cs	乳	primitives		爪孔
cs	淋	primitives		沐木
cs	深	primitives		沐㓁
cs	慨	primitives		心既
cs	概	primitives		木既
cs	蕊	primitives	艹惢	芯心心
cs	蕊	story		<b>Stamen</b> (the male reproductive organ of flowers) looks a bit like a <i>wick</i> (芯) that tries to attract many <i>hearts</i> (心心).
cs	梅	comment		This kanji refers to the tree and the fruits of the species Prunus mume. Its common names include Chinese plum, Japanese plum and Japanese apricot.   Take care not to confuse with kanji 李 (damson, lat. Prunus salicina) which confusingly also is called Chinese plum, Japanese plum. Note that 李 (Li) is mainly used as a common surname in Asia.
cs	李	primitive_keywords		Mr Lee
cs	李	story		<b>Mr Lee</b> (李), an aspiring botanist, spent a lot of time in nature studying different plants and trees (木) when he was a kid (子). However it was only a certain Japanese plum tree (李) under which he could relax most comfortably. After all they both shared the same name (李).
cs	李	comment		["This kanji refers to the tree and fruits of Prunus salicina (\u674e, \u30b9\u30e2\u30e2). Confusingly it also has the same common names (Japanese plum, Chinese plum\u200b) as \u6885 (\u3046\u3081, Japanese plum, lat. Prunus mume). To add confusion, Heisig's keyword of choice (<b>damson</b>) actually refers to Prunus domestica (another subspecies of plum tree).", "However \u674e (Li) is mainly used as a common surname in Asia. According to Wikipedia it is the second-most common surname in China as of 2018, the second-most common surname in Hong Kong, the most common surname in Macau and the 5th most common surname in Taiwan, where it is usually romanized as \"Lee\".  For this reason and to prevent confusion with \u6885 we give this kanji another keyword: <b>Mr Lee</b>."]
cs	禹	primitive_keywords		Yu the Great
cs	禹	story		Some of <b>Yu's</b> subordinates were not so happy with his leadership skills. Some might have said that he is nothing more than a gnat (䖝) with a belt (冂).
cs	禹	comment		Yu the Great (大禹) or Yu the Engineer was a legendary king in ancient China who was famed for "the first successful state efforts at flood control".
cs	炒	keywords		stir-fry
cs	炒	story		For <b>stir-frying</b> you need only <i>few</i> (少) things: <i>Heat/fire</i> (火), small amount of oil (少量の油) and vegetables/meat.
cs	炒	comment		<b>Stir-frying</b> is a cooking technique in which ingredients are fried in a small amount of very hot oil while being stirred or tossed in a wok.
cs	炙	keywords		toast
cs	炸	keywords		fry
cs	瘤	keywords		lump
h	瘤	primitives		疒留
h	敷	primitives	甫方攵	弋田方攵
cs	泄	keywords		dribble out (old)
cs	泄	comment		This is an old form of 洩 (dribble out).
h	泄	primitives		水世
cs	堅	story		The <b>strict</b> parent thinks adolescent kids are 'slaves (臣) to their crotch (又)' (= can't control their hormones), so he grounds (土) them. However wise (臤) parents know better and are more lenient.
cs	懐	keywords		nostalgic
cs	型	primitives		刑土
h	垂	primitives	丿丶[silage]丨一	丶[silage]丨一
cs	垂	primitives		丿[silage]丨一
cs	丿	primitive_keywords		katana
h	丿	primitive_keywords	katana	
h	丿	story	This is a non-Heisig primitive, added as a reference to those kanjis which contain one stroke such as this and in which Heisig doesn't explicitely state it should be a 'drop' ( 丶 )primitive.	This is a non-Heisig primitive, added as a reference to those kanjis which contain one stroke such as this and in which Heisig doesn't explicitely state it should be a 'drop' (丶) primitive.
cs	牧	keywords		pasture
