Source	Character	Field	OldValue	NewValue

######## 聿 -> [brush-top] #######

######## 艹 -> 艸 #######

######## 匚 -> [box-small] #######

######## 弗 -> [dollar_sign-below] #######

######## 食 -> 𩙿 #######

######## 高 -> [tall] #######

######## [futon] -> 翟 #######

######## 衣 -> [top_hat_and_scarf] #######

######## 艸 -> 艹 #######

######## 人 -> 亻 #######
h	儚	primitives	人夢	亻夢
h	夜	primitives	亠人夂丶	亠亻夂丶
cs	夜	primitives	亠人夕丶	亠亻夕丶
h	保	primitives	人口木	亻口木
cs	保	primitives	人呆	亻呆
h	修	primitives	人丨攵彡	亻丨攵彡
h	侵	primitives	人ヨ冖又	亻ヨ冖又
cs	侵	primitives	人[french_maid]	亻[french_maid]
h	仰	primitives	人匚卩	亻匚卩
cs	仰	primitives	人卬	亻卬
h	悠	primitives	人丨攵心	亻丨攵心
h	倫	primitives	人亼冊	亻亼冊
cs	倫	primitives	人侖	亻侖
h	俊	primitives	人允夂	亻允夂
cs	俊	primitives	人夋	亻夋
h	儲	primitives	人諸	亻諸
h	偏	primitives	人戸冊	亻戸冊
cs	偏	primitives	人扁	亻扁
h	篠	primitives	竹人丨攵木	竹亻丨攵木
h	傲	primitives	人土方攵	亻土方攵
h	伐	primitives	人戈	亻戈
h	倦	primitives	人巻	亻巻
h	佗	primitives	人它	亻它
h	俑	primitives	人マ用	亻マ用
cs	俑	primitives	人甬	亻甬
h	葠	primitives	艹人[french_maid]	艹亻[french_maid]
h	僯	primitives	人粦	亻粦
h	何	primitives	人可	亻可
h	作	primitives	人乍	亻乍
h	体	primitives	人本	亻本
h	信	primitives	人言	亻言
h	仕	primitives	人士	亻士
h	使	primitives	人吏	亻吏
h	代	primitives	人弋	亻弋
h	供	primitives	人共	亻共
h	伝	primitives	人云	亻云
h	任	primitives	人壬	亻壬
h	他	primitives	人也	亻也
h	件	primitives	人牛	亻牛
h	付	primitives	人寸	亻寸
h	優	primitives	人憂	亻憂
h	係	primitives	人系	亻系
h	備	primitives	人艹厂用	亻艹厂用
h	化	primitives	人匕	亻匕
h	仲	primitives	人中	亻中
h	傷	primitives	人𠂉昜	亻𠂉昜
h	住	primitives	人主	亻主
h	倒	primitives	人到	亻到
h	休	primitives	人木	亻木
h	位	primitives	人立	亻立
h	似	primitives	人以	亻以
h	働	primitives	人動	亻動
h	像	primitives	人象	亻象
h	佐	primitives	人左	亻左
h	例	primitives	人列	亻列
h	低	primitives	人氐	亻氐
h	価	primitives	人西	亻西
h	個	primitives	人固	亻固
h	側	primitives	人則	亻則
h	借	primitives	人昔	亻昔
h	値	primitives	人直	亻直
h	宿	primitives	宀人百	宀亻百
h	健	primitives	人建	亻建
h	偽	primitives	人為	亻為
h	便	primitives	人更	亻更
h	偉	primitives	人韋	亻韋
h	依	primitives	人衣	亻衣
h	儀	primitives	人義	亻義
h	停	primitives	人亭	亻亭
h	伊	primitives	人尹	亻尹
h	伏	primitives	人犬	亻犬
h	仮	primitives	人反	亻反
h	億	primitives	人意	亻意
h	伸	primitives	人申	亻申
h	倍	primitives	人咅	亻咅
h	偶	primitives	人禺	亻禺
h	仙	primitives	人山	亻山
h	償	primitives	人賞	亻賞
h	偵	primitives	人貞	亻貞
h	仁	primitives	人二	亻二
h	僚	primitives	人尞	亻尞
h	僧	primitives	人曽	亻曽
h	伯	primitives	人白	亻白
h	伴	primitives	人半	亻半
h	俳	primitives	人非	亻非
h	鷹	primitives	广人隹鳥	广亻隹鳥
h	侮	primitives	人毎	亻毎
h	仏	primitives	人厶	亻厶
h	伺	primitives	人司	亻司
h	佳	primitives	人圭	亻圭
h	侑	primitives	人有	亻有
h	侍	primitives	人寺	亻寺
h	傑	primitives	人舛木	亻舛木
h	促	primitives	人足	亻足
h	俗	primitives	人谷	亻谷
h	傍	primitives	人立冖方	亻立冖方
h	債	primitives	人責	亻責
h	佑	primitives	人右	亻右
h	併	primitives	人并	亻并
h	傭	primitives	人庸	亻庸
h	侶	primitives	人呂	亻呂
h	侠	primitives	人夹	亻夹
h	伍	primitives	人五	亻五
h	僅	primitives	人[cabbage]	亻[cabbage]
h	侯	primitives	人ユ矢	亻ユ矢
h	仇	primitives	人九	亻九
h	倣	primitives	人放	亻放
h	倶	primitives	人具	亻具
h	伽	primitives	人加	亻加
h	俵	primitives	人表	亻表
h	雁	primitives	厂人隹	厂亻隹
h	佃	primitives	人田	亻田
h	俣	primitives	人口天	亻口天
h	儒	primitives	人需	亻需
h	伎	primitives	人支	亻支
h	仔	primitives	人子	亻子
h	俸	primitives	人奉	亻奉
h	倹	primitives	人㑒	亻㑒
h	什	primitives	人十	亻十
h	偲	primitives	人思	亻思
h	僑	primitives	人喬	亻喬
h	僻	primitives	人辟	亻辟
h	但	primitives	人旦	亻旦
h	倭	primitives	人委	亻委
h	倖	primitives	人幸	亻幸
h	應	primitives	广人隹心	广亻隹心
h	伶	primitives	人令	亻令
h	俄	primitives	人我	亻我
h	倅	primitives	人卒	亻卒
h	做	primitives	人故	亻故
h	侃	primitives	人口川	亻口川
h	侭	primitives	人尽	亻尽
h	佼	primitives	人交	亻交
h	倇	primitives	人宛	亻宛
h	俟	primitives	人矣	亻矣

######## 手 -> 扌 #######
h	捏	primitives	手日土	扌日土
h	捺	primitives	手奈	扌奈

######## 者 -> 者 #######

######## 会 -> 會 #######

######## 入 -> [go_in] #######

######## 長 -> [mane] #######

######## 長 -> 镸 #######

######## 心 -> 忄 #######
h	悩	primitives	心⺍凶	忄⺍凶
h	懐	primitives	心十罒衣	忄十罒衣
cs	懐	primitives	心[hacker]衣	忄[hacker]衣
h	憐	primitives	心舛米	忄舛米
cs	憐	primitives	心粦	忄粦
cs	惚	primitives	心忽	忄忽
h	愕	primitives	心咢	忄咢
h	悖	primitives	心孛	忄孛
h	惴	primitives	心耑	忄耑
h	懆	primitives	心喿	忄喿
h	慘	primitives	心參	忄參
h	性	primitives	心生	忄生
h	情	primitives	心青	忄青
h	怖	primitives	心布	忄布
h	悟	primitives	心吾	忄吾
h	怪	primitives	心圣	忄圣
h	忙	primitives	心亡	忄亡
h	慢	primitives	心曼	忄曼
h	悔	primitives	心毎	忄毎
h	憶	primitives	心意	忄意
h	慣	primitives	心貫	忄貫
h	快	primitives	心夬	忄夬
h	慎	primitives	心真	忄真
h	憎	primitives	心曽	忄曽
h	恨	primitives	心艮	忄艮
h	惨	primitives	心参	忄参
h	惜	primitives	心昔	忄昔
h	慌	primitives	心荒	忄荒
h	憧	primitives	心童	忄童
h	愉	primitives	心[butchers]	忄俞
h	怯	primitives	心去	忄去
