Source	Character	Field	OldValue	NewValue
### Wanikani primitives
h	巛	primitive_alternatives		川
cs	巛	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'stream' (川)

cs	犭	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'dog' (犬)

cs	氵	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'water' (水)

cs	耂	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'old man' (老)

cs	忄	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'heart' (心)

cs	礻	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'show/altar' (示)

cs	灬	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'fire' (火)

cs	亻	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'person' (人)

cs	[leaf]	comment		This is a Wanikani-only primitive.

cs	[kick]	comment		This is a Wanikani-only primitive.

cs	[pope]	comment		This is a Wanikani-only primitive.

cs	[creeper]	comment		This is a Wanikani-only primitive.

cs	[zombie]	comment		This is a Wanikani-only primitive.

cs	[hills]	comment		This is a Wanikani-only primitive.

cs	[elf]	comment		This is a Wanikani-only primitive.

cs	[coral]	comment		This is a Wanikani-only primitive.

cs	[cactus]	comment		This is a Wanikani-only primitive.

cs	[psychopath]	comment		This is a Wanikani-only primitive.

cs	⺌	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'small' (小)

cs	ホ	comment		This is a separate primitive only in Wanikani system, where as in Heisig system it is an alternative form of 'tree' (木)
